source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Mark E. Udall,1,3,6,Ken Salazar,1950,29906,35,227,192,0,DEM,M,CO,01595,111
Mark Pryor,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1963,40301,15,162,147,6,DEM,M,AR,01701,111
Mark Steven Kirk,NA,NA,NA,NA,1959,20115,0,3,3,0,REP,M,IL,01647,111
Mark Warner,0.5283018867924528,1,1,Scott Brown,1954,40909,10,139,129,0,DEM,M,VA,01897,111
Mark Warner,0.7415072001344386,6.6250531331413685,14,Jim Webb,1954,40909,10,139,129,0,DEM,M,VA,01897,111
Mary L. Landrieu,1,0.04020296643247463,2,Hillary Rodham Clinton,1955,49702,53,343,290,12,DEM,F,LA,01546,111
Max S. Baucus,0.5382878928490807,6.9678571428571425,11,Jon Tester,1941,14203,44,166,122,31,DEM,M,MT,00066,111
Mel Martinez,0.31829044867315576,8.656472807702317,16,Bill Nelson,1946,40501,9,112,103,0,REP,M,FL,01769,111
Michael B. Enzi,0.5963302752293578,3.25,6,John A. Barrasso,1944,49706,9,166,157,12,REP,M,WY,01542,111
Michael D. Crapo,1,4,4,James Risch,1951,29345,24,272,248,6,REP,M,ID,00250,111
Michael F. Bennet,1,0.04020296643247463,2,Hillary Rodham Clinton,1964,40910,19,242,223,0,DEM,M,CO,01965,111
Michael F. Bennet,0.8221495783686306,13.612842712842713,24,Mark E. Udall,1964,40910,19,242,223,0,DEM,M,CO,01965,111
Michael F. Bennet,1,3,6,Ken Salazar,1964,40910,19,242,223,0,DEM,M,CO,01965,111
Mike Johanns,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1950,40905,12,197,185,0,REP,M,NE,01899,111
Mike Johanns,0.42396888564404284,2.628506352035764,10,Ben E. Nelson,1950,40905,12,197,185,0,REP,M,NE,01899,111
Mitch McConnell,0.6290797569123641,29.944070661691732,40,Harry M. Reid,1942,14921,10,88,78,24,REP,M,KY,01395,111
Olympia J. Snowe,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1947,14661,66,389,323,12,REP,F,ME,01085,111
Olympia J. Snowe,0.31480609475569754,6.367084942084942,13,Susan M. Collins,1947,14661,66,389,323,12,REP,F,ME,01085,111
Orrin G. Hatch,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1934,14503,16,207,191,30,REP,M,UT,01351,111
Orrin G. Hatch,0.8638297872340427,8.458333333333334,10,Robert F. Bennett,1934,14503,16,207,191,30,REP,M,UT,01351,111
Pat Roberts,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1936,14852,9,193,184,12,REP,M,KS,00968,111
Pat Roberts,0.5214708212932648,6.792307692307692,12,Samuel D. Brownback,1936,14852,9,193,184,12,REP,M,KS,00968,111
Patrick J. Leahy,0.4793668281299017,5.217516233766234,16,Bernard Sanders,1940,14307,60,358,298,30,DEM,M,VT,01383,111
Patrick J. Leahy,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1940,14307,60,358,298,30,DEM,M,VT,01383,111
Patty Murray,1,0.04020296643247463,2,Hillary Rodham Clinton,1950,49308,47,361,314,12,DEM,F,WA,01409,111
Patty Murray,0.4003400040000471,7.3654761904761905,16,Maria Cantwell,1950,49308,47,361,314,12,DEM,F,WA,01409,111
Paul G. Kirk Jr.,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1938,40912,0,56,56,0,DEM,M,MA,01972,111
Paul G. Kirk Jr.,0.2825450214117418,13.766837169650469,23,John Forbes Kerry,1938,40912,0,56,56,0,DEM,M,MA,01972,111
Richard C. Shelby,0.8866877971473851,3.0741758241758244,5,Jefferson B. Sessions,1934,14659,6,60,54,18,REP,M,AL,01049,111
Richard G. Lugar,0.2922367939605116,14.239062990149947,27,John Forbes Kerry,1932,14506,24,197,173,30,REP,M,IN,01387,111
Richard G. Lugar,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1932,14506,24,197,173,30,REP,M,IN,01387,111
Richard G. Lugar,0.3381086108588104,2.2266233766233765,8,Evan Bayh,1932,14506,24,197,173,30,REP,M,IN,01387,111
Richard J. Durbin,1,0.04020296643247463,2,Hillary Rodham Clinton,1944,15021,58,471,413,12,DEM,M,IL,00326,111
Richard J. Durbin,0.7646546088472435,4.873611111111111,8,Roland Burris,1944,15021,58,471,413,12,DEM,M,IL,00326,111
Richard M. Burr,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1955,29548,40,295,255,0,REP,M,NC,00153,111
Richard M. Burr,0.47775947281713343,6.444444444444445,8,Kay Hagan,1955,29548,40,295,255,0,REP,M,NC,00153,111
Richard M. Burr,0.3023991563406275,0.7585978835978836,6,Thomas A. Coburn,1955,29548,40,295,255,0,REP,M,NC,00153,111
Richard M. Burr,0.3059975520195839,1.0101010101010102,2,Robert C. Byrd,1955,29548,40,295,255,0,REP,M,NC,00153,111
Robert C. Byrd,NA,NA,NA,NA,1917,1366,6,103,97,48,DEM,M,WV,01299,111
Robert F. Bennett,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1933,49307,13,176,163,12,REP,M,UT,01280,111
Robert Menéndez,0.5108748697303618,9.836637382225618,27,Frank R. Lautenberg,1954,29373,57,433,376,1,DEM,M,NJ,00791,111
Robert Menéndez,1,0.04020296643247463,2,Hillary Rodham Clinton,1954,29373,57,433,376,1,DEM,M,NJ,00791,111
Robert P. Casey Jr.,0.8659454195391297,78.9179312993273,87,Arlen Specter,1960,40703,102,561,459,0,DEM,M,PA,01828,111
Robert P. Casey Jr.,1,0.04020296643247463,2,Hillary Rodham Clinton,1960,40703,102,561,459,0,DEM,M,PA,01828,111
Roger F. Wicker,0.7948016415868674,3.8733333333333335,6,Thad Cochran,1951,29534,12,210,198,0,REP,M,MS,01226,111
Roger F. Wicker,0.4338842975206612,2,2,Mark Warner,1951,29534,12,210,198,0,REP,M,MS,01226,111
Roland Burris,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1937,40903,12,313,301,0,DEM,M,IL,01963,111
Ron Wyden,1,0.04020296643247463,2,Hillary Rodham Clinton,1949,14871,61,306,245,9,DEM,M,OR,01247,111
Ron Wyden,0.41088865408438385,2.753907203907204,7,Jeff Merkley,1949,14871,61,306,245,9,DEM,M,OR,01247,111
Russell D. Feingold,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1953,49309,65,332,267,12,DEM,M,WI,01331,111
Samuel D. Brownback,0.3852696354271648,1.4623687627469923,6,Pat Roberts,1956,29523,29,253,224,9,REP,M,KS,00137,111
Saxby Chambliss,0.8908504568569893,8.161742424242425,16,John H. Isakson,1943,29512,11,234,223,6,REP,M,GA,00188,111
Saxby Chambliss,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1943,29512,11,234,223,6,REP,M,GA,00188,111
Saxby Chambliss,0.3953260176296466,2.524331662489557,8,Lindsey O. Graham,1943,29512,11,234,223,6,REP,M,GA,00188,111
